Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000360,Lamar Alexander,M,Republican,1940,2,0.101258524,0.199082588
B000575,Roy Blunt,M,Republican,1950,1,0.29718098,0.884650435
B000944,Sherrod Brown,M,Democrat,1952,2,-0.32142511,-1.279963327
B001135,Richard Burr,M,Republican,1955,2,0.289119124,0.856440554
B001230,Tammy Baldwin,F,Democrat,1962,1,-0.288893551,-1.16612956
B001236,John Boozman,M,Republican,1950,1,0.383232027,1.185758496
B001261,John Barrasso,M,Republican,1952,2,0.457663029,1.446205934
B001267,Michael Bennet,M,Democrat,1964,2,-0.132846102,-0.620091524
B001277,Richard Blumenthal,M,Democrat,1946,1,-0.294838309,-1.186931338
B001288,Cory Booker,M,Democrat,1969,1,-0.205055386,-0.872764771
C000127,Maria Cantwell,F,Democrat,1958,3,-0.086795099,-0.458950798
C000141,Ben Cardin,M,Democrat,1943,2,-0.138037905,-0.638258575
C000174,Tom Carper,M,Democrat,1947,3,0.006661402,-0.131929723
C000567,Thad Cochran,M,Republican,1937,7,0.479309797,1.521951861
C000880,Mike Crapo,M,Republican,1951,3,0.352961898,1.079837879
C001035,Susan Collins,F,Republican,1952,3,0.074970886,0.107097424
C001047,Shelley Moore Capito,F,Republican,1953,0,0.357819855,1.096836744
C001056,John Cornyn,M,Republican,1952,3,0.356428713,1.091968886
C001070,"Bob Casey, Jr.",M,Democrat,1960,2,-0.151157975,-0.684168056
C001071,Bob Corker,M,Republican,1952,2,-0.956970632,-3.5038512
C001075,Bill Cassidy,M,Republican,1957,0,0.241010427,0.688099587
C001088,Chris Coons,M,Democrat,1963,1,-0.109246358,-0.537511784
C001095,Tom Cotton,M,Republican,1977,0,0.194391549,0.524971761
C001098,Ted Cruz,M,Republican,1970,1,0.209230334,0.576895333
C001113,Catherine Cortez Masto,F,Democrat,1964,0,-0.270477742,-1.101689339
D000563,Dick Durbin,M,Democrat,1944,3,-0.170427889,-0.751596942
D000607,Joe Donnelly,M,Democrat,1955,1,0.033927754,-0.036519864
D000618,Steve Daines,M,Republican,1962,0,0.440858185,1.387402767
D000622,Tammy Duckworth,F,Democrat,1968,0,-0.124459453,-0.590745133
E000285,Mike Enzi,M,Republican,1944,3,0.596910894,1.933459209
E000295,Joni Ernst,F,Republican,1970,0,0.437035888,1.374027865
F000062,Dianne Feinstein,F,Democrat,1933,5,-0.246945515,-1.019345854
F000444,Jeff Flake,M,Republican,1962,1,0.249038011,0.716189542
F000457,Al Franken,M,Democrat,1951,2,-0.234002948,-0.974057487
F000463,Deb Fischer,F,Republican,1951,1,0.298535258,0.889389294
G000359,Lindsey Graham,M,Republican,1955,2,0.096378371,0.182006057
G000386,Chuck Grassley,M,Republican,1933,6,0.213557601,0.592037218
G000555,Kirsten Gillibrand,F,Democrat,1966,2,-0.416240722,-1.611740173
G000562,Cory Gardner,M,Republican,1974,0,0.328534752,0.994362911
H000338,Orrin Hatch,M,Republican,1934,7,0.225427225,0.633571165
H001041,Dean Heller,M,Republican,1960,2,0.284609765,0.840661495
H001042,Mazie K. Hirono,F,Democrat,1947,1,-0.270849317,-1.102989548
H001046,Martin Heinrich,M,Democrat,1971,1,-0.240442887,-0.99659199
H001061,John Hoeven,M,Republican,1957,1,0.32788834,0.992100998
H001069,Heidi Heitkamp,F,Democrat,1955,1,0.045177676,0.002845633
H001075,Kamala Harris,F,Democrat,1964,0,-0.279932141,-1.13477198
H001076,Maggie Hassan,F,Democrat,1958,0,-0.239249066,-0.992414594
H001079,Cindy Hyde-Smith,F,Republican,1959,1,0.453346401,1.431101278
I000024,Jim Inhofe,M,Republican,1934,4,0.288447171,0.85408927
I000055,Johnny Isakson,M,Republican,1944,3,0.242066979,0.691796651
J000293,Ron Johnson (Wisconsin),M,Republican,1955,1,0.239323303,0.682196036
J000300,Doug Jones (Alabama),M,Democrat,1954,0,0.037148215,-0.025250892
K000352,Jon Kyl,M,Republican,1942,4,0.041068874,-0.011531801
K000367,Amy Klobuchar,F,Democrat,1960,2,-0.165663451,-0.734925319
K000383,Angus King,M,Independent,1944,1,-0.057649203,-0.356964074
K000384,Tim Kaine,M,Democrat,1958,1,-0.176537991,-0.772977285
K000393,John Neely Kennedy,M,Republican,1951,0,0.241263047,0.688983547
L000174,Patrick Leahy,M,Democrat,1940,7,-0.206000507,-0.876071919
L000575,James Lankford,M,Republican,1968,1,0.307334393,0.920179049
L000577,Mike Lee,M,Republican,1971,1,0.170464948,0.441248289
M000133,Ed Markey,M,Democrat,1946,1,-0.304854631,-1.221980247
M000303,John McCain,M,Republican,1936,6,0.23591353,0.670264627
M000355,Mitch McConnell,M,Republican,1942,5,0.664906502,2.171388047
M000639,Bob Menendez,M,Democrat,1954,3,-0.276036561,-1.121140644
M000934,Jerry Moran,M,Republican,1954,1,0.303093731,0.905340212
M001111,Patty Murray,F,Democrat,1950,4,-0.451451212,-1.734948
M001153,Lisa Murkowski,F,Republican,1957,3,0.283691734,0.83744914
M001169,Chris Murphy (Connecticut),M,Democrat,1973,1,-0.25641495,-1.052481105
M001170,Claire McCaskill,F,Democrat,1953,2,0.063741863,0.067805056
M001176,Jeff Merkley,M,Democrat,1956,1,-0.207371488,-0.880869229
M001183,Joe Manchin III,M,Democrat,1947,2,-0.028910859,-0.256403449
N000032,Bill Nelson (Florida),M,Democrat,1942,3,-0.229319662,-0.957669829
P000449,Rob Portman,M,Republican,1955,1,0.283878118,0.838101331
P000595,Gary Peters,M,Democrat,1958,0,-0.221302241,-0.929615434
P000603,Rand Paul,M,Republican,1963,1,-0.207286686,-0.88057249
P000612,David Perdue,M,Republican,1949,0,0.27251187,0.798328788
R000122,Jack Reed,M,Democrat,1949,3,-0.13106595,-0.613862452
R000307,Pat Roberts,M,Republican,1936,3,0.363923728,1.118195292
R000584,Jim Risch,M,Republican,1943,1,0.223317772,0.626189809
R000595,Marco Rubio,M,Republican,1971,1,0.247162551,0.70962697
R000605,Mike Rounds,M,Republican,1954,0,0.341323376,1.0391126
S000033,Bernie Sanders,M,Independent,1941,2,-0.41855979,-1.619855008
S000148,Chuck Schumer,M,Democrat,1950,3,-0.331190199,-1.314133124
S000320,Richard Shelby,M,Democrat,1934,5,0.454621494,1.435563055
S000770,Debbie Stabenow,F,Democrat,1950,3,-0.161600113,-0.72070697
S001181,Jeanne Shaheen,F,Democrat,1947,1,-0.283588797,-1.147567274
S001184,Tim Scott,M,Republican,1965,2,0.346099466,1.055824998
S001194,Brian E. Schatz,M,Democrat,1972,2,-0.210180014,-0.890696766
S001197,Ben Sasse,M,Republican,1972,0,0.098951809,0.191010979
S001198,Daniel S. Sullivan,M,Republican,1964,0,0.290670097,0.861867685
S001203,Tina Smith,F,Democrat,1958,1,-0.167243361,-0.74045371
T000250,John Thune,M,Republican,1961,2,0.399560928,1.242896252
T000461,Pat Toomey,M,Republican,1961,1,0.146082819,0.355930842
T000464,Jon Tester,M,Democrat,1956,2,-0.012269934,-0.198173865
T000476,Thom Tillis (North Carolina),M,Republican,1960,0,0.333866477,1.013019573
U000039,Tom Udall,M,Democrat,1948,1,-0.178494647,-0.779823978
V000128,Chris Van Hollen,M,Democrat,1959,0,-0.191553071,-0.825517748
W000437,Roger Wicker,M,Republican,1951,2,0.341214418,1.038731339
W000779,Ron Wyden,M,Democrat,1949,4,-0.110441126,-0.541692491
W000802,Sheldon Whitehouse,M,Democrat,1955,2,-0.167148739,-0.740122609
W000805,Mark Warner,M,Democrat,1954,1,-0.036481939,-0.282896019
W000817,Elizabeth Warren,F,Democrat,1949,1,-0.298781306,-1.200728589
Y000064,Todd Young,M,Republican,1972,0,0.141116709,0.338553531