name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Brenda Lawrence (Michigan),-1.18329,-1.29276,-1.36404,L000581,Democrat,-0.308842,-0.376745
Mark Veasey,-1.04435,-0.426585,-1.35446,V000131,Democrat,-0.064345,-0.373429
Dwight Evans,-1.15549,-1.45925,-1.32893,E000296,Democrat,-0.355838,-0.364587
Joyce Beatty,-1.14208,-1.12184,-1.31771,B001281,Democrat,-0.260598,-0.3607
Karen Bass,-1.18332,-0.922139,-1.3127,B001270,Democrat,-0.204227,-0.358966
"John Conyers, Jr.",-1.65863,-1.42936,-1.31058,C000714,Democrat,-0.347401,-0.358229
"Henry C. Johnson, Jr.",-1.20662,-0.975368,-1.30991,J000288,Democrat,-0.219252,-0.357997
Ilhan Omar,-0.804836,-1.59165,-1.2494,O000173,Democrat,-0.393211,-0.337041
Sheila Jackson Lee,-1.17244,-1.10232,-1.21887,J000032,Democrat,-0.255088,-0.326469
Alma Adams,-1.20608,-1.471,-1.20413,A000370,Democrat,-0.359156,-0.321364
Gregory Meeks,-1.1631,-1.08092,-1.17098,M001137,Democrat,-0.249048,-0.309881
Bobby Rush,-1.13869,-0.166905,-1.16108,R000515,Democrat,0.008955,-0.306454
G.K. Butterfield,-1.18679,-0.330379,-1.14752,B001251,Democrat,-0.037189,-0.301756
Lisa Blunt Rochester,-1.14466,-0.990334,-1.14408,B001303,Democrat,-0.223476,-0.300564
Joe Neguse,-0.831038,-0.679799,-1.13467,N000191,Democrat,-0.135821,-0.297305
Robert C. Scott,-1.16952,-1.54645,-1.13363,S000185,Democrat,-0.380452,-0.296944
Lauren Underwood,-0.792897,-1.09893,-1.11349,U000040,Democrat,-0.254131,-0.28997
Anthony Brown (Maryland),-1.10186,-1.08387,-1.1032,B001304,Democrat,-0.24988,-0.286405
Terri Sewell,-1.03006,-0.760475,-1.09993,S001185,Democrat,-0.158594,-0.285275
Marcia L. Fudge,-1.10719,-1.11366,-1.08997,F000455,Democrat,-0.258287,-0.281825
Emanuel Cleaver,-1.14904,-0.376982,-1.07731,C001061,Democrat,-0.050344,-0.277441
Hakeem Jeffries,-1.17221,-1.59213,-1.07053,J000294,Democrat,-0.393349,-0.275092
John Lewis (Georgia),-1.26498,-1.03663,-1.05243,L000287,Democrat,-0.236545,-0.268821
Maxine Waters,-1.14696,-0.78749,-1.04639,W000187,Democrat,-0.166219,-0.266732
Donald Payne Jr.,-1.17679,-0.971363,-1.04467,P000604,Democrat,-0.218121,-0.266136
Robin Kelly,-1.20952,-1.07973,-1.03581,K000385,Democrat,-0.24871,-0.263066
Alcee L. Hastings,-1.14547,-1.47644,-0.942862,H000324,Democrat,-0.360691,-0.230874
Val Demings,-1.14026,-1.05249,-0.927878,D000627,Democrat,-0.241022,-0.225685
Steven Horsford,-0.744493,-1.66249,-0.854598,H001066,Democrat,-0.413207,-0.200305
Sean Casten,-0.739852,-0.693111,-0.831333,C001117,Democrat,-0.139578,-0.192247
Eddie Bernice Johnson,-1.14689,-0.98869,-0.823728,J000126,Democrat,-0.223012,-0.189613
Danny K. Davis,-1.28575,-0.9315,-0.786608,D000096,Democrat,-0.206869,-0.176757
Andre Carson,-1.17959,-1.36019,-0.746264,C001072,Democrat,-0.327878,-0.162784
Jahana Hayes,-0.825505,-1.1235,-0.708894,H001081,Democrat,-0.261065,-0.149841
Al Green,-1.13106,-1.59468,-0.609951,G000553,Democrat,-0.394066,-0.115573
Alfred Lawson,-0.959441,-0.700083,-0.570801,L000586,Democrat,-0.141546,-0.102014
Lucy McBath,-0.634043,-1.70251,-0.471275,M001208,Democrat,-0.424505,-0.067544
Bennie Thompson,-1.1226,-0.648298,-0.453959,T000193,Democrat,-0.126929,-0.061547
Filemon Vela,-0.87006,0.300373,-0.41775,V000132,Democrat,0.140855,-0.049006
Cedric Richmond,-1.09669,-0.353677,-0.177413,R000588,Democrat,-0.043765,0.034233
David Scott (Georgia),-1.05406,-0.148009,0.103562,S001157,Democrat,0.014289,0.131547
Sanford Bishop Jr.,-0.878863,-0.563228,0.127407,B000490,Democrat,-0.102916,0.139805
Antonio Delgado (New York),-0.648668,0.317547,0.249173,D000630,Democrat,0.145703,0.181978
Carolyn B. Maloney,-1.14975,-0.927708,-2.12944,M000087,Democrat,-0.205799,-0.641838
Eliot Engel,-1.16537,-1.10345,-1.79502,E000179,Democrat,-0.255407,-0.526014
Luis V. Gutierrez,-1.71233,-1.18717,-1.73541,G000535,Democrat,-0.279039,-0.505366
Alexandria Ocasio-Cortez,-0.718032,-1.37432,-1.67999,O000172,Democrat,-0.331865,-0.486175
Katherine Clark,-1.18539,-1.8329,-1.56324,C001101,Democrat,-0.461312,-0.445737
Raul M. Grijalva,-1.33342,-0.552312,-1.54752,G000551,Democrat,-0.099835,-0.440293
Jesus Garcia,-0.802645,-1.63851,-1.45515,G000586,Democrat,-0.40644,-0.408301
Lois Frankel,-1.15149,-1.48087,-1.44948,F000462,Democrat,-0.361942,-0.406337
Jose Serrano,-1.26546,-1.09956,-1.44572,S000248,Democrat,-0.254307,-0.405035
Joseph Crowley,-1.57324,-1.42636,-1.43788,C001038,Democrat,-0.346556,-0.402321
Nydia Velazquez,-1.21744,-0.623814,-1.43494,V000081,Democrat,-0.120018,-0.401303
Rosa DeLauro,-1.16682,-2.04028,-1.43273,D000216,Democrat,-0.519847,-0.400536
Brendan Boyle,-1.07978,-1.22922,-1.43151,B001296,Democrat,-0.290908,-0.400114
Adriano Espaillat,-1.20969,-1.31357,-1.41635,E000297,Democrat,-0.314718,-0.394862
Lucille Roybal-Allard,-1.14263,-1.49027,-1.41515,R000486,Democrat,-0.364596,-0.394446
Debbie Wasserman Schultz,-1.17174,-1.52576,-1.41262,W000797,Democrat,-0.374614,-0.39357
Alan Lowenthal,-1.20441,-0.809089,-1.39647,L000579,Democrat,-0.172316,-0.387977
Jan Schakowsky,-1.24056,-1.37694,-1.39351,S001145,Democrat,-0.332605,-0.386952
Nanette Barragán,-1.15324,-1.01309,-1.38877,B001300,Democrat,-0.229899,-0.385311
Mark Pocan,-1.23772,-1.68069,-1.37872,P000607,Democrat,-0.418344,-0.38183
Jimmy Gomez,-1.0565,-1.32449,-1.37669,G000585,Democrat,-0.317799,-0.381126
Sylvia Garcia,-0.819228,-1.67512,-1.37569,G000587,Democrat,-0.416774,-0.38078
Juan Vargas,-1.15514,-0.503589,-1.36017,V000130,Democrat,-0.086081,-0.375407
Nancy Pelosi,-1.58009,-1.41136,-1.35042,P000197,Democrat,-0.342322,-0.372027
Donna Shalala,-0.79005,-1.19144,-1.35026,S001206,Democrat,-0.280244,-0.371975
Andy Levin,-0.848895,-1.32769,-1.34448,L000592,Democrat,-0.318702,-0.369972
Kathy Castor,-1.11575,-1.35569,-1.33643,C001066,Democrat,-0.326607,-0.367185
Pramila Jayapal,-1.19456,-1.68977,-1.32685,J000298,Democrat,-0.420907,-0.363864
Gil Cisneros,-0.704776,-0.914473,-1.30021,C001123,Democrat,-0.202063,-0.35464
Diana DeGette,-1.1511,-1.01584,-1.2885,D000197,Democrat,-0.230676,-0.350583
Adam Smith,-1.18975,-0.702217,-1.28752,S000510,Democrat,-0.142149,-0.350244
Linda Sánchez,-1.18717,-1.16896,-1.28494,S001156,Democrat,-0.273897,-0.349349
Debbie Mucarsel-Powell,-0.760935,-1.31968,-1.27711,M001207,Democrat,-0.316443,-0.34664
Sander Levin,-1.46262,-1.38171,-1.27081,L000263,Democrat,-0.333952,-0.344457
Norma Torres,-1.09295,-1.2025,-1.26809,T000474,Democrat,-0.283364,-0.343514
Salud Carbajal,-0.955825,-0.94387,-1.26796,C001112,Democrat,-0.210361,-0.343468
Jim McGovern (Massachusetts),-1.20029,-1.39163,-1.26327,M000312,Democrat,-0.33675,-0.341845
Nita Lowey,-1.15132,-2.70838,-1.25231,L000480,Democrat,-0.708434,-0.33805
David N. Cicilline,-1.21753,-1.5359,-1.24818,C001084,Democrat,-0.377475,-0.336619
Katie Hill,-0.713609,-0.487154,-1.24664,H001087,Democrat,-0.081442,-0.336085
Steny Hoyer,-1.11542,-0.982248,-1.24026,H000874,Democrat,-0.221194,-0.333875
Suzanne Bonamici,-1.20736,-1.13441,-1.23924,B001278,Democrat,-0.264146,-0.333522
Tony Cardenas,-1.10904,-1.03326,-1.22851,C001097,Democrat,-0.235593,-0.329807
TJ Cox,-0.649238,0.286167,-1.22448,C001124,Democrat,0.136845,-0.328409
Theodore E. Deutch,-1.12244,-1.18378,-1.22326,D000610,Democrat,-0.278082,-0.327988
Peter DeFazio,-1.09766,-0.463281,-1.21166,D000191,Democrat,-0.074704,-0.323971
Grace Napolitano,-1.15435,-0.524392,-1.20394,N000179,Democrat,-0.091953,-0.321297
Don Beyer,-1.08358,-0.550552,-1.1933,B001292,Democrat,-0.099338,-0.317612
Ro Khanna,-1.16926,-1.37662,-1.1912,K000389,Democrat,-0.332515,-0.316885
Paul Tonko,-1.15444,-1.28448,-1.16831,T000469,Democrat,-0.306506,-0.308957
Jerrold Nadler,-1.24435,-1.29833,-1.15927,N000002,Democrat,-0.310415,-0.305825
John Yarmuth,-1.15795,-1.6086,-1.14921,Y000062,Democrat,-0.397996,-0.30234
Mary Gay Scanlon,-0.828867,-1.29554,-1.14551,S001205,Democrat,-0.309628,-0.301062
Frank Pallone,-1.18396,-0.79171,-1.13977,P000034,Democrat,-0.16741,-0.299071
Mark Takano,-1.22031,-0.317019,-1.13361,T000472,Democrat,-0.033418,-0.29694
Joaquin Castro,-1.20506,-1.12783,-1.13075,C001091,Democrat,-0.262288,-0.295948
Debra Haaland,-0.811389,-1.29804,-1.12884,H001080,Democrat,-0.310334,-0.295288
Mark DeSaulnier,-1.22718,-0.601412,-1.12469,D000623,Democrat,-0.113694,-0.29385
Doris Matsui,-1.12106,-1.21444,-1.12229,M001163,Democrat,-0.286735,-0.293019
John Sarbanes,-1.16758,-1.0683,-1.11995,S001168,Democrat,-0.245484,-0.292208
Kathleen Rice,-0.960645,-0.503433,-1.11953,R000602,Democrat,-0.086037,-0.292064
Bill Pascrell,-1.15431,-0.718822,-1.11258,P000096,Democrat,-0.146836,-0.289656
Lloyd Doggett,-1.24489,-1.42933,-1.10825,D000399,Democrat,-0.347394,-0.288154
Veronica Escobar,-0.814687,-1.38571,-1.10297,E000299,Democrat,-0.335081,-0.286326
David Price,-1.13826,-1.1788,-1.10124,P000523,Democrat,-0.276674,-0.285729
Louise Slaughter,-1.61202,-1.47611,-1.09208,S000480,Democrat,-0.360598,-0.282556
Ruben Gallego,-1.14627,-1.10998,-1.08596,G000574,Democrat,-0.25725,-0.280434
Rashida Tlaib,-0.808753,-1.78363,-1.08154,T000481,Democrat,-0.447403,-0.278903
Dan Kildee,-1.14308,-1.53683,-1.08143,K000380,Democrat,-0.377736,-0.278866
Donald Norcross,-1.00369,-1.18658,-1.07491,N000188,Democrat,-0.278873,-0.276608
Mike Levin,-0.785983,-1.27053,-1.06218,L000593,Democrat,-0.302568,-0.272198
Judy Chu,-1.24194,-1.14063,-1.05778,C001080,Democrat,-0.265902,-0.270675
Jacky Rosen,-0.944054,0.028049,-1.05636,R000608,Democrat,0.063986,-0.270182
Michelle Lujan Grisham,-1.32844,-0.559965,-1.05532,L000580,Democrat,-0.101995,-0.269823
Lou Correa,-0.823808,0.138553,-1.05078,C001110,Democrat,0.095178,-0.268252
Michael Quigley,-1.16649,-1.02353,-1.04164,Q000023,Democrat,-0.232848,-0.265084
Zoe Lofgren,-1.19563,-0.804955,-1.03701,L000397,Democrat,-0.171149,-0.263483
Joseph Kennedy III,-1.19815,-1.22335,-1.03393,K000379,Democrat,-0.289251,-0.262416
Jamie Raskin,-1.20841,-1.13338,-1.02955,R000606,Democrat,-0.263853,-0.260898
Julia Brownley,-1.04959,-0.870872,-1.01337,B001285,Democrat,-0.189756,-0.255294
Darren Soto,-1.1446,-0.893606,-1.01208,S001200,Democrat,-0.196173,-0.254846
Dina Titus,-1.16808,-0.670138,-1.01192,T000468,Democrat,-0.133094,-0.254793
Katie Porter,-0.575279,-1.0893,-1.00128,P000618,Democrat,-0.251412,-0.251105
Anna Eshoo,-1.16057,-1.10059,-1.00119,E000215,Democrat,-0.254598,-0.251075
Eric Swalwell,-1.17096,-1.53411,-0.997595,S001193,Democrat,-0.376969,-0.249831
Pete Aguilar,-0.984657,-0.907827,-0.993529,A000371,Democrat,-0.200187,-0.248423
Ted Lieu,-1.09801,-1.20342,-0.987719,L000582,Democrat,-0.283625,-0.24641
Jackie Speier,-1.15502,-1.08983,-0.986735,S001175,Democrat,-0.251562,-0.246069
Adam Schiff,-1.16766,-1.03325,-0.985912,S001150,Democrat,-0.235591,-0.245784
Steve Cohen,-1.1332,-0.890916,-0.984994,C001068,Democrat,-0.195413,-0.245466
Betty McCollum,-1.12904,-1.70059,-0.98428,M001143,Democrat,-0.423962,-0.245219
Matt Cartwright,-1.09209,-0.903624,-0.982121,C001090,Democrat,-0.199001,-0.244471
Ben Ray Luján,-1.13041,-0.822705,-0.976787,L000570,Democrat,-0.176159,-0.242624
Jared Huffman,-1.14881,-0.477706,-0.976559,H001068,Democrat,-0.078775,-0.242545
John B. Larson,-1.05649,-0.99078,-0.97476,L000557,Democrat,-0.223602,-0.241922
Jared Polis,-1.39165,-0.817056,-0.972542,P000598,Democrat,-0.174565,-0.241154
Madeleine Dean,-0.803975,-1.52555,-0.964461,D000631,Democrat,-0.374554,-0.238355
Ed Perlmutter,-1.05173,-0.897397,-0.961129,P000593,Democrat,-0.197243,-0.237201
Harley Rouda,-0.644944,-0.220696,-0.95805,R000616,Democrat,-0.006228,-0.236134
Denny Heck,-1.13443,-0.324828,-0.94321,H001064,Democrat,-0.035622,-0.230995
Kim Schrier,-0.672161,-0.818371,-0.940394,S001216,Democrat,-0.174936,-0.230019
Michael F. Doyle,-1.10926,-0.237855,-0.930536,D000482,Democrat,-0.011072,-0.226605
Ann Kirkpatrick,-0.709606,-1.57721,-0.925327,K000368,Democrat,-0.389134,-0.224801
Susan Wild,-0.664723,-1.19572,-0.90744,W000826,Democrat,-0.281452,-0.218606
Elzabeth Esty,-1.43554,-0.457087,-0.906226,E000293,Democrat,-0.072955,-0.218186
Joseph Morelle,-0.737349,-1.25607,-0.905364,M001206,Democrat,-0.298485,-0.217887
Brad Schneider,-0.811817,-0.654781,-0.901905,S001190,Democrat,-0.128759,-0.216689
Ruben Kihuen,-1.44169,0.797505,-0.869542,K000390,Democrat,0.281183,-0.205481
Debbie Dingell,-1.18655,-0.553493,-0.861085,D000624,Democrat,-0.100168,-0.202552
Lori Trahan,-0.806841,-1.37544,-0.860572,T000482,Democrat,-0.332182,-0.202374
Albio Sires,-1.13451,-0.700745,-0.843621,S001165,Democrat,-0.141733,-0.196503
Jennifer Wexton,-0.753953,-1.19267,-0.833639,W000825,Democrat,-0.28059,-0.193046
Chellie Pingree,-1.2113,-0.84876,-0.820471,P000597,Democrat,-0.183514,-0.188485
Grace Meng,-1.22177,-0.928967,-0.808676,M001188,Democrat,-0.206154,-0.1844
Raja Krishnamoorthi,-1.09912,-0.726306,-0.793114,K000391,Democrat,-0.148948,-0.17901
Haley Stevens,-0.706224,-0.553021,-0.790182,S001215,Democrat,-0.100035,-0.177995
Ami Bera,-0.852892,-0.564331,-0.787679,B001287,Democrat,-0.103227,-0.177128
Elissa Slotkin,-0.429835,-0.374025,-0.757574,S001208,Democrat,-0.049509,-0.166701
Tulsi Gabbard,-1.18399,-0.444289,-0.754016,G000571,Democrat,-0.069343,-0.165469
Colleen Hanabusa,-1.47714,-0.036973,-0.752003,H001050,Democrat,0.045632,-0.164772
Tim Ryan (Ohio),-1.06354,-0.975487,-0.733665,R000577,Democrat,-0.219286,-0.158421
Gerald Connolly,-1.05941,-0.80173,-0.725033,C001078,Democrat,-0.170239,-0.155431
Suzan DelBene,-1.09414,-1.26942,-0.718056,D000617,Democrat,-0.302256,-0.153014
Jimmy Panetta,-1.00673,-0.078808,-0.717947,P000613,Democrat,0.033823,-0.152977
Scott Peters,-0.770561,-0.008489,-0.701801,P000608,Democrat,0.053672,-0.147385
Bill Foster,-1.11476,-0.485431,-0.695567,F000454,Democrat,-0.080956,-0.145226
Susie Lee,-0.665784,-0.84552,-0.681327,L000590,Democrat,-0.182599,-0.140294
Greg Stanton,-0.762477,-0.860243,-0.678536,S001211,Democrat,-0.186755,-0.139327
Jim Himes,-1.04583,-0.621095,-0.670766,H001047,Democrat,-0.11925,-0.136636
Max Rose,-0.518462,-0.066281,-0.655661,R000613,Democrat,0.037359,-0.131404
Richard Neal,-1.13208,-0.946701,-0.643796,N000015,Democrat,-0.21116,-0.127295
Tom Malinowski,-0.750377,-0.644893,-0.625664,M001203,Democrat,-0.125968,-0.121015
Marcy Kaptur,-1.10765,-0.975163,-0.621491,K000009,Democrat,-0.219194,-0.11957
Sean Maloney,-0.926212,-0.075582,-0.609526,M001185,Democrat,0.034734,-0.115426
Tom Suozzi,-0.819839,-0.454651,-0.59629,S001201,Democrat,-0.072268,-0.110842
Cheri Bustos,-0.9722,-0.640887,-0.581963,B001286,Democrat,-0.124837,-0.10588
Joe Cunningham,-0.288248,0.330617,-0.575719,C001122,Democrat,0.149393,-0.103717
John Garamendi,-1.01942,-0.959159,-0.568009,G000559,Democrat,-0.214677,-0.101047
Jerry McNerney,-1.11443,-0.481733,-0.552772,M001166,Democrat,-0.079912,-0.09577
Jason Crow,-0.654178,-0.720026,-0.522424,C001121,Democrat,-0.147176,-0.085259
Chrissy Houlahan,-0.625609,-0.766454,-0.480989,H001085,Democrat,-0.160281,-0.070908
Annie Kuster,-1.01459,-0.548785,-0.444718,K000382,Democrat,-0.098839,-0.058346
Ed Case,-0.665146,-0.022766,-0.442681,C001055,Democrat,0.049642,-0.057641
Raul Ruiz,-0.938684,-0.765071,-0.441971,R000599,Democrat,-0.159891,-0.057394
Rick Larsen,-1.09146,-0.033947,-0.441162,L000560,Democrat,0.046486,-0.057114
Peter Welch,-1.18428,-0.950824,-0.434591,W000800,Democrat,-0.212324,-0.054838
Josh Gottheimer,-0.488213,-0.053692,-0.423481,G000583,Democrat,0.040913,-0.050991
Charlie Crist,-0.857558,-1.18138,-0.401069,C001111,Democrat,-0.277403,-0.043228
Joe Courtney,-1.0879,-0.644293,-0.381204,C001069,Democrat,-0.125798,-0.036348
David Trone,-0.762682,-0.476487,-0.342217,T000483,Democrat,-0.078431,-0.022846
Chris Pappas,-0.697845,-0.543382,-0.339361,P000614,Democrat,-0.097314,-0.021856
Xochitl Torres Small,-0.457523,0.411531,-0.306361,T000484,Democrat,0.172232,-0.010427
Brad Sherman,-1.1253,-0.348648,-0.290857,S000344,Democrat,-0.042346,-0.005057
Bill Keating,-1.03846,0.028634,-0.275935,K000375,Democrat,0.064151,0.000111
Seth Moulton,-1.04471,-0.754022,-0.271182,M001196,Democrat,-0.156772,0.001757
Mike Thompson (California),-1.0687,-0.818396,-0.208126,T000460,Democrat,-0.174943,0.023596
Elaine Luria,-0.483136,0.515826,-0.207689,L000591,Democrat,0.201672,0.023747
Mikie Sherrill,-0.650259,-0.291479,-0.177643,S001207,Democrat,-0.026209,0.034154
Ron Kind,-0.896955,0.123158,-0.168934,K000188,Democrat,0.090832,0.03717
Stephanie Murphy,-0.64399,-0.293271,-0.168317,M001202,Democrat,-0.026714,0.037383
Brian Higgins,-1.09977,-0.932443,-0.161382,H001038,Democrat,-0.207135,0.039785
Lizzie Pannill Fletcher,-0.618109,-0.249437,-0.151438,F000468,Democrat,-0.014341,0.043229
Stephen Lynch,-0.982468,-0.541125,-0.143834,L000562,Democrat,-0.096677,0.045863
Derek Kilmer,-1.02255,-0.27679,-0.140746,K000381,Democrat,-0.022062,0.046933
Jim Langevin,-1.07098,-0.541738,-0.131923,L000559,Democrat,-0.09685,0.049988
Jim Costa,-0.541674,0.107833,-0.131858,C001059,Democrat,0.086507,0.050011
Dean Phillips,-0.716565,-0.408502,-0.07979,P000616,Democrat,-0.059241,0.068044
Angie Craig,-0.534359,-0.051403,-0.071958,C001119,Democrat,0.041559,0.070757
Conor Lamb,-0.388989,0.561427,-0.041488,L000588,Democrat,0.214544,0.08131
Abigail Spanberger,-0.412536,-0.116121,0.030771,S001209,Democrat,0.02329,0.106336
Ben McAdams,-0.229147,0.130843,0.09032,M001209,Democrat,0.093002,0.126961
Cindy Axne,-0.467411,0.008395,0.092986,A000378,Democrat,0.058438,0.127884
Kendra Horn,-0.33829,-0.213756,0.099123,H001083,Democrat,-0.004269,0.130009
Tim Walz,-1.35184,0.608409,0.104062,W000799,Democrat,0.227806,0.13172
Daniel Lipinski,-0.845395,-0.065991,0.152535,L000563,Democrat,0.037441,0.148508
Beto O'Rourke,-1.36404,-0.367216,0.167184,O000170,Democrat,-0.047587,0.153582
Tom O'Halleran,-0.665831,0.176354,0.207702,O000171,Democrat,0.105848,0.167615
Kurt Schrader,-0.605136,-0.242664,0.207996,S001180,Democrat,-0.012429,0.167717
Henry Cuellar,-0.490972,0.532132,0.262857,C001063,Democrat,0.206275,0.186717
Collin Peterson,-0.271449,1.21981,0.587661,P000258,Democrat,0.400387,0.299211
Kyrsten Sinema,-0.366073,1.16052,0.588684,S001191,Democrat,0.383653,0.299565
Peter J. Visclosky,-1.04194,-0.983018,0.614208,V000108,Democrat,-0.221411,0.308405